Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
54,No,Travel_Rarely,969,Research & Development,4,3,Technical Degree,3664,3,Male,50,4,2,Sales Representative,2,Married,9270,13380,3,No,16,3,1,0,35,0,4,15,2,2,0
33,Yes,Travel_Rarely,1247,Research & Development,7,3,Life Sciences,3665,3,Male,46,3,1,Laboratory Technician,3,Married,5736,2930,6,No,25,3,2,0,9,0,4,9,6,9,9
32,No,Travel_Rarely,576,Research & Development,10,3,Life Sciences,3666,2,Male,40,4,2,Sales Representative,3,Divorced,7476,11457,2,Yes,13,3,4,0,7,2,4,5,5,8,5
26,No,Travel_Rarely,1078,Sales,5,5,Medical,3667,4,Male,37,1,3,Sales Executive,2,Married,9569,9469,4,Yes,11,3,4,0,6,3,3,5,5,4,5
48,No,Travel_Rarely,753,Research & Development,5,3,Life Sciences,3668,4,Male,98,4,5,Manager,1,Married,16632,24245,8,Yes,19,3,3,1,28,2,1,19,3,9,8
33,No,Travel_Rarely,1469,Research & Development,10,2,Human Resources,3669,4,Female,48,4,4,Research Director,2,Married,12933,14286,1,Yes,17,3,1,1,12,0,1,12,9,3,12
38,No,Travel_Rarely,1363,Research & Development,13,3,Life Sciences,3670,2,Female,94,3,2,Research Director,4,Single,7944,3895,2,No,18,3,3,1,17,3,2,14,10,0,8
27,No,Travel_Rarely,1318,Research & Development,8,2,Marketing,3671,3,Male,95,2,2,Research Scientist,2,Married,5857,8736,2,Yes,16,3,3,1,9,2,2,7,7,2,4
54,No,Travel_Rarely,1269,Research & Development,26,5,Medical,3672,4,Male,62,1,2,Sales Executive,4,Married,7659,20974,8,Yes,14,3,3,2,33,2,1,15,1,5,0
26,No,Travel_Frequently,1165,Research & Development,28,2,Human Resources,3673,4,Male,67,4,3,Research Director,4,Divorced,8690,13719,9,No,14,3,1,0,5,2,2,5,5,2,5
49,No,Travel_Frequently,782,Research & Development,19,5,Marketing,3674,2,Male,60,3,3,Sales Executive,3,Married,11715,20379,1,Yes,19,3,4,2,31,5,2,8,1,7,1
35,Yes,Travel_Frequently,914,Research & Development,25,3,Life Sciences,3675,2,Male,92,4,4,Laboratory Technician,1,Single,14409,8365,7,No,11,4,1,1,13,2,3,2,2,4,2
26,No,Travel_Rarely,639,Research & Development,28,4,Life Sciences,3676,3,Female,43,2,1,Research Scientist,4,Married,3711,2202,1,No,15,3,3,1,5,6,2,5,4,5,2
54,No,Travel_Rarely,1116,Research & Development,12,3,Technical Degree,3677,4,Male,59,3,1,Research Director,2,Single,5700,14760,4,No,18,3,1,0,33,1,2,11,5,9,2
40,No,Travel_Frequently,163,Research & Development,16,5,Technical Degree,3678,4,Male,97,3,1,Research Scientist,1,Single,4164,26320,9,No,19,3,3,0,22,4,3,18,5,9,3
43,No,Travel_Rarely,936,Research & Development,9,3,Technical Degree,3679,2,Male,85,2,5,Research Scientist,2,Married,16917,22559,7,No,13,3,4,0,25,1,3,15,0,5,4
26,Yes,Non-Travel,1406,Research & Development,8,3,Marketing,3680,2,Female,78,4,1,Laboratory Technician,2,Single,4879,14262,8,Yes,15,3,4,2,2,3,3,2,2,4,2
23,No,Travel_Rarely,1042,Research & Development,26,3,Life Sciences,3681,3,Female,51,1,2,Laboratory Technician,3,Single,5848,6403,4,No,11,3,2,1,4,2,2,4,3,4,3
51,No,Travel_Rarely,1213,Research & Development,12,4,Medical,3682,2,Female,98,3,1,Laboratory Technician,2,Married,6839,23724,6,Yes,19,3,2,0,28,0,2,15,2,6,11
60,No,Travel_Frequently,1442,Sales,10,5,Technical Degree,3683,4,Male,41,2,1,Laboratory Technician,3,Single,6961,25445,4,No,14,4,4,0,37,2,2,4,0,1,4
25,Yes,Travel_Rarely,379,Research & Development,10,2,Life Sciences,3684,4,Male,66,2,2,Sales Executive,4,Married,8489,7346,8,Yes,17,3,1,0,1,3,3,1,1,4,1
54,No,Travel_Rarely,777,Research & Development,4,2,Medical,3685,1,Male,71,4,2,Research Director,3,Married,8678,7617,1,No,22,3,1,2,34,5,3,19,9,5,2
34,No,Travel_Rarely,279,Sales,26,1,Life Sciences,3686,4,Male,71,3,3,Research Scientist,2,Single,11561,3675,1,No,13,3,1,1,15,2,3,15,6,7,1
41,No,Travel_Frequently,828,Sales,24,3,Medical,3687,3,Female,38,3,2,Laboratory Technician,1,Married,6909,20012,9,No,14,3,2,0,22,3,4,18,0,6,9
28,No,Travel_Frequently,122,Sales,5,4,Medical,3688,4,Male,36,3,2,Sales Executive,3,Single,8180,26952,7,No,21,3,4,1,6,3,4,6,1,5,6
36,No,Travel_Rarely,154,Research & Development,7,1,Medical,3689,2,Male,94,3,3,Research Scientist,4,Married,8413,5487,1,No,19,3,1,1,13,3,3,13,8,9,7
44,No,Travel_Frequently,1178,Sales,12,3,Life Sciences,3690,2,Male,80,4,2,Manufacturing Director,3,Married,8126,2484,0,No,18,3,3,0,21,1,1,9,6,8,0
35,No,Travel_Rarely,259,Research & Development,26,3,Life Sciences,3691,1,Male,89,1,2,Laboratory Technician,1,Divorced,8017,6101,2,No,18,3,4,0,10,3,3,10,2,4,8
44,No,Travel_Rarely,809,Sales,5,4,Marketing,3692,4,Male,38,4,1,Healthcare Representative,3,Divorced,5044,10326,8,No,21,3,1,1,19,3,2,5,5,3,5
40,No,Travel_Rarely,1351,Research & Development,6,3,Other,3693,4,Male,87,1,2,Sales Executive,4,Married,7735,17370,3,Yes,23,4,4,0,20,3,3,12,4,3,8
50,No,Travel_Rarely,1405,Sales,14,2,Life Sciences,3694,1,Male,84,3,1,Human Resources,4,Married,4635,12690,8,No,11,3,2,0,25,2,2,18,13,0,11
41,No,Travel_Rarely,339,Research & Development,2,5,Life Sciences,3695,1,Male,58,4,1,Laboratory Technician,4,Married,4234,4499,4,Yes,11,3,2,0,23,4,3,2,2,9,2
50,No,Travel_Frequently,1461,Research & Development,25,1,Marketing,3696,4,Female,34,4,2,Laboratory Technician,4,Married,8506,15377,3,No,12,4,4,1,28,5,3,17,10,1,2
45,No,Travel_Frequently,374,Research & Development,16,4,Life Sciences,3697,2,Male,64,2,2,Research Scientist,2,Married,8788,19189,7,Yes,21,3,1,0,22,2,2,14,10,2,9
39,No,Travel_Rarely,595,Research & Development,17,1,Life Sciences,3698,4,Male,97,4,3,Research Scientist,4,Divorced,11175,3121,7,No,14,3,4,2,16,2,3,10,9,0,9
31,No,Travel_Rarely,129,Sales,1,2,Medical,3699,4,Male,78,3,2,Manufacturing Director,2,Married,7461,11991,0,No,14,3,4,1,6,4,4,6,1,6,6
29,No,Travel_Rarely,1293,Research & Development,9,5,Medical,3700,4,Female,87,4,2,Research Scientist,4,Single,7802,21218,5,No,17,3,1,1,7,3,4,7,7,7,1
47,No,Travel_Frequently,186,Sales,25,4,Life Sciences,3701,1,Female,73,4,4,Healthcare Representative,3,Married,12698,6635,4,Yes,18,3,4,1,22,3,4,13,12,4,9
50,No,Travel_Rarely,131,Sales,11,3,Other,3702,2,Male,67,3,5,Research Scientist,4,Single,16028,15796,7,No,13,4,3,1,26,2,3,1,1,6,1
31,Yes,Travel_Rarely,504,Research & Development,25,3,Life Sciences,3703,3,Male,63,4,1,Healthcare Representative,1,Married,6087,3640,9,No,25,3,3,1,10,2,3,10,0,9,10
38,No,Non-Travel,989,Research & Development,25,3,Life Sciences,3704,1,Female,55,3,2,Manufacturing Director,1,Married,7976,23250,7,Yes,16,3,1,0,15,1,3,15,1,6,5
23,No,Travel_Frequently,408,Sales,9,1,Medical,3705,2,Female,31,3,2,Sales Executive,1,Married,8181,17839,7,No,24,3,4,1,4,3,4,1,1,2,1
27,No,Travel_Rarely,565,Sales,3,4,Marketing,3706,2,Male,32,3,2,Sales Executive,3,Married,6958,12066,9,No,14,3,3,0,6,5,1,6,2,9,2
26,No,Travel_Rarely,731,Research & Development,10,4,Technical Degree,3707,3,Male,98,3,5,Research Director,4,Single,16714,22076,7,No,21,3,3,0,4,3,3,4,4,1,2
49,No,Non-Travel,378,Sales,20,4,Life Sciences,3708,4,Male,64,3,2,Research Scientist,4,Divorced,7523,9396,9,Yes,19,3,1,1,25,2,4,14,5,7,0
26,No,Travel_Rarely,106,Sales,15,3,Life Sciences,3709,4,Female,79,3,2,Laboratory Technician,1,Single,5588,18466,2,No,19,4,1,1,8,2,3,8,3,0,5
39,No,Travel_Frequently,1103,Research & Development,8,3,Life Sciences,3710,4,Male,75,2,1,Research Scientist,1,Married,7417,6524,9,Yes,23,3,3,3,21,3,3,12,11,8,11
47,No,Travel_Rarely,289,Research & Development,22,3,Life Sciences,3711,1,Male,79,2,2,Manufacturing Director,1,Married,8815,19668,6,No,23,3,2,1,22,4,3,14,3,8,13
41,No,Travel_Rarely,937,Sales,24,3,Medical,3712,4,Male,47,4,2,Healthcare Representative,3,Single,8595,14430,0,No,25,3,2,1,19,3,2,16,13,4,13
48,No,Travel_Rarely,1056,Research & Development,6,3,Marketing,3713,4,Male,41,4,3,Sales Executive,3,Married,9974,6972,8,No,20,4,3,2,24,3,4,1,1,2,1
33,No,Travel_Rarely,1388,Research & Development,19,5,Medical,3714,2,Female,74,3,1,Sales Executive,4,Married,4906,12808,5,No,23,3,4,2,13,3,3,6,3,4,6
28,No,Travel_Rarely,108,Research & Development,7,2,Human Resources,3715,4,Female,74,4,4,Human Resources,3,Divorced,12616,15423,6,No,19,3,4,1,8,3,1,3,3,1,3
24,No,Travel_Rarely,463,Sales,1,2,Marketing,3716,4,Male,54,1,2,Healthcare Representative,3,Married,8219,26283,8,No,18,3,4,0,1,2,1,1,1,3,1
31,No,Non-Travel,920,Sales,5,3,Life Sciences,3717,3,Female,61,4,2,Research Scientist,2,Divorced,9041,18952,1,No,20,3,3,1,13,2,3,3,3,9,3
55,No,Travel_Rarely,352,Research & Development,12,1,Life Sciences,3718,3,Male,88,4,3,Laboratory Technician,3,Single,12629,3438,4,Yes,19,3,1,1,32,2,4,16,10,6,4
46,No,Travel_Rarely,102,Sales,1,5,Medical,3719,4,Female,49,3,2,Research Director,4,Divorced,8375,8729,6,No,11,3,2,0,21,2,3,1,1,9,1
56,No,Travel_Rarely,959,Research & Development,21,1,Medical,3720,3,Female,81,3,4,Laboratory Technician,4,Married,13652,26974,6,No,13,3,2,0,36,2,3,6,1,4,6
37,No,Travel_Rarely,1214,Sales,4,4,Medical,3721,1,Female,32,1,2,Research Scientist,4,Single,7626,10133,6,No,17,3,2,1,18,0,3,1,1,4,1
23,No,Travel_Rarely,965,Sales,20,3,Marketing,3722,1,Female,88,3,3,Sales Executive,3,Single,9036,7098,6,No,23,4,4,0,0,2,3,0,0,4,0
45,No,Travel_Rarely,138,Research & Development,21,1,Life Sciences,3723,4,Male,57,3,1,Laboratory Technician,4,Married,6445,23550,4,Yes,18,4,4,0,24,3,4,2,2,8,2
31,No,Travel_Rarely,608,Sales,7,4,Life Sciences,3724,1,Female,91,3,3,Sales Representative,3,Married,11175,10922,8,No,22,3,3,1,7,2,2,6,6,9,2
59,No,Travel_Rarely,164,Sales,9,3,Marketing,3725,4,Male,85,2,1,Laboratory Technician,1,Single,7374,6194,0,No,15,3,3,0,34,1,4,2,2,4,2
43,No,Travel_Rarely,1058,Sales,3,1,Marketing,3726,2,Male,82,3,3,Manager,3,Married,10915,9994,9,No,20,3,2,0,18,0,4,8,8,2,8
47,No,Travel_Rarely,682,Research & Development,9,2,Technical Degree,3727,4,Male,55,4,3,Sales Representative,2,Single,12703,8377,6,No,25,3,2,0,22,3,4,18,11,2,13
60,No,Travel_Rarely,643,Research & Development,17,3,Human Resources,3728,3,Male,81,2,1,Research Scientist,2,Married,7537,5460,4,No,24,3,3,0,40,2,3,0,0,7,0
48,No,Travel_Rarely,292,Research & Development,27,3,Life Sciences,3729,3,Female,31,4,1,Research Scientist,3,Married,5579,21191,2,No,14,3,1,0,30,2,4,4,4,2,4
50,No,Travel_Rarely,272,Human Resources,14,3,Life Sciences,3730,3,Male,50,4,3,Research Director,4,Divorced,10360,20569,4,Yes,15,4,1,2,27,2,2,3,3,3,3
59,Yes,Travel_Frequently,679,Sales,23,3,Technical Degree,3731,4,Female,98,3,1,Research Scientist,2,Single,5920,9178,5,No,19,3,4,1,36,3,4,8,0,7,4
41,No,Travel_Rarely,1376,Research & Development,25,3,Human Resources,3732,4,Female,94,3,1,Manufacturing Director,3,Married,4278,3009,0,Yes,15,3,4,1,16,2,2,3,0,0,3
48,No,Non-Travel,821,Research & Development,6,3,Life Sciences,3733,4,Female,55,4,1,Manufacturing Director,4,Single,4444,26712,8,No,20,3,2,0,26,2,3,4,1,2,4
41,No,Travel_Frequently,1073,Sales,18,3,Life Sciences,3734,3,Male,55,4,1,Laboratory Technician,3,Married,5134,14243,1,No,25,3,3,0,16,4,2,9,1,0,9
40,No,Travel_Rarely,139,Sales,16,1,Life Sciences,3735,2,Male,53,4,4,Manufacturing Director,3,Married,13460,17920,3,Yes,18,3,4,0,19,1,3,1,1,1,1
41,No,Travel_Frequently,578,Research & Development,16,3,Marketing,3736,1,Male,35,3,4,Healthcare Representative,1,Divorced,13257,13437,0,No,12,4,3,0,16,3,3,13,13,3,8
56,No,Travel_Frequently,1018,Human Resources,11,3,Marketing,3737,4,Male,31,4,2,Research Director,3,Divorced,8676,25478,1,No,12,3,4,2,31,3,3,19,10,4,3
23,No,Travel_Frequently,1428,Research & Development,8,2,Marketing,3738,3,Female,33,4,2,Manager,3,Married,8015,11648,0,No,21,3,4,3,5,1,3,0,0,1,0
51,No,Non-Travel,804,Sales,19,2,Life Sciences,3739,2,Female,76,4,1,Research Scientist,2,Divorced,5431,2157,8,No,12,3,3,0,26,2,4,18,12,6,1
55,No,Travel_Frequently,735,Research & Development,2,1,Life Sciences,3740,1,Male,30,2,2,Laboratory Technician,4,Single,8749,16850,8,No,16,3,3,0,34,5,3,12,4,2,5
43,No,Travel_Rarely,369,Research & Development,9,3,Life Sciences,3741,4,Female,70,4,5,Sales Representative,1,Divorced,17522,10684,2,No,13,3,3,0,21,3,2,6,6,8,6
24,No,Non-Travel,928,Research & Development,16,3,Life Sciences,3742,4,Male,51,3,2,Research Scientist,2,Married,5374,26491,4,No,12,3,2,2,5,4,3,2,2,8,2
27,No,Travel_Rarely,299,Research & Development,8,3,Other,3743,3,Male,98,3,1,Research Scientist,4,Single,4983,18737,8,No,11,4,3,1,9,1,4,2,2,6,2
36,No,Travel_Frequently,1479,Research & Development,1,5,Life Sciences,3744,3,Male,50,3,1,Manufacturing Director,3,Single,3453,23640,9,Yes,14,3,4,0,18,3,4,4,4,1,2
48,No,Travel_Frequently,632,Research & Development,18,3,Life Sciences,3745,2,Male,58,3,4,Sales Executive,3,Single,13039,21852,1,No,12,3,3,1,26,3,4,13,7,4,0
31,No,Travel_Rarely,498,Research & Development,15,4,Marketing,3746,3,Female,58,3,1,Manager,3,Married,4867,10958,3,No,12,4,3,1,8,3,2,8,8,2,8
30,No,Travel_Rarely,525,Sales,17,1,Life Sciences,3747,4,Female,31,1,1,Research Director,4,Divorced,4216,21645,2,No,13,3,1,1,5,3,4,5,2,8,5
54,No,Travel_Rarely,883,Sales,10,2,Human Resources,3748,3,Female,63,2,3,Manufacturing Director,3,Married,10738,15409,8,No,12,4,1,2,33,0,2,5,5,3,0
53,No,Travel_Rarely,807,Research & Development,15,2,Life Sciences,3749,1,Male,48,3,3,Sales Executive,4,Married,12250,21138,0,No,11,3,3,0,31,0,2,18,6,5,8
27,No,Travel_Rarely,298,Research & Development,3,3,Technical Degree,3750,1,Male,86,4,2,Research Scientist,4,Married,7955,25793,7,Yes,24,3,4,0,6,3,4,6,2,5,6
57,No,Travel_Frequently,784,Research & Development,10,3,Marketing,3751,1,Male,34,2,4,Sales Executive,4,Married,15124,3435,1,No,17,3,4,1,35,0,4,10,10,8,10
23,Yes,Travel_Rarely,1086,Sales,15,3,Life Sciences,3752,3,Female,42,3,3,Research Scientist,1,Married,8689,17323,5,Yes,24,3,1,0,0,3,4,0,0,3,0
50,No,Travel_Rarely,251,Research & Development,12,3,Life Sciences,3753,4,Male,51,4,2,Research Director,4,Single,7751,22864,7,No,11,3,2,0,31,4,3,4,4,9,4
25,No,Travel_Rarely,483,Sales,26,1,Life Sciences,3754,3,Male,69,4,5,Research Scientist,2,Married,14937,18441,3,No,20,3,4,1,2,3,4,2,2,8,2
22,No,Travel_Rarely,995,Research & Development,28,3,Medical,3755,4,Female,41,1,4,Sales Executive,3,Married,11504,17971,2,No,20,3,1,0,2,2,4,2,2,0,2
40,No,Travel_Frequently,592,Research & Development,29,1,Medical,3756,1,Female,44,2,1,Manufacturing Director,4,Married,4473,24819,7,No,25,3,4,0,22,3,3,9,2,7,8
47,No,Travel_Rarely,1235,Research & Development,1,3,Technical Degree,3757,4,Female,52,2,4,Sales Representative,3,Married,13837,14600,2,No,20,4,4,0,26,3,4,10,10,0,4
46,Yes,Travel_Rarely,1459,Research & Development,25,4,Life Sciences,3758,2,Female,30,3,2,Sales Executive,2,Divorced,8118,13430,1,Yes,11,3,4,0,26,4,1,1,1,1,1
31,No,Travel_Rarely,857,Research & Development,15,3,Life Sciences,3759,3,Male,89,3,2,Manufacturing Director,2,Married,7511,7349,3,No,12,4,1,0,12,4,1,1,0,1,1
36,No,Travel_Rarely,1053,Research & Development,4,2,Life Sciences,3760,1,Male,71,4,5,Research Scientist,4,Married,15463,7649,7,No,12,3,1,1,16,4,2,13,1,4,13
43,No,Travel_Rarely,455,Research & Development,5,2,Marketing,3761,3,Male,89,3,2,Research Scientist,2,Married,8397,13371,7,Yes,22,3,1,3,19,4,4,0,0,1,0
42,No,Non-Travel,1214,Research & Development,28,3,Technical Degree,3762,1,Male,94,4,2,Research Scientist,4,Divorced,9106,5428,2,Yes,19,3,3,1,18,5,2,8,3,9,8
43,No,Travel_Rarely,597,Research & Development,10,2,Life Sciences,3763,1,Male,92,3,1,Sales Representative,1,Married,6098,18654,9,No,15,3,2,0,25,3,4,4,4,5,4
57,No,Travel_Frequently,1221,Sales,14,5,Life Sciences,3764,3,Male,57,4,4,Sales Representative,4,Single,14256,20703,4,No,16,3,4,0,38,2,4,10,10,9,10
55,No,Travel_Rarely,543,Research & Development,4,3,Life Sciences,3765,1,Female,45,2,1,Manufacturing Director,4,Single,6343,8731,9,No,12,3,2,0,32,3,3,10,10,3,8
51,No,Travel_Rarely,760,Sales,6,5,Life Sciences,3766,1,Male,52,2,1,Sales Executive,3,Married,5601,25778,6,No,11,3,3,1,26,2,4,14,8,9,10
46,No,Travel_Frequently,1377,Research & Development,5,5,Medical,3767,3,Male,76,4,1,Research Director,3,Married,4569,15436,7,Yes,22,3,1,0,28,2,2,13,3,7,7
49,No,Travel_Frequently,1113,Sales,23,3,Life Sciences,3768,1,Female,68,2,3,Laboratory Technician,4,Married,11726,16696,7,No,16,3,3,0,24,2,4,7,5,3,7
22,No,Travel_Rarely,256,Research & Development,5,2,Technical Degree,3769,1,Male,83,3,1,Laboratory Technician,4,Married,4371,5453,7,No,25,3,4,1,4,2,3,2,2,2,2
25,No,Travel_Rarely,1112,Research & Development,11,4,Life Sciences,3770,4,Female,62,3,4,Healthcare Representative,1,Married,13085,23993,8,No,22,3,3,3,7,3,3,7,1,8,6
28,Yes,Travel_Rarely,341,Research & Development,20,2,Human Resources,3771,4,Female,74,4,3,Manufacturing Director,3,Single,10074,15650,5,No,23,3,4,2,6,1,4,6,6,1,6
30,No,Travel_Rarely,1434,Research & Development,5,3,Life Sciences,3772,3,Female,40,3,3,Sales Executive,2,Divorced,9708,5742,2,No,22,3,1,0,10,2,2,1,1,1,1
57,No,Travel_Rarely,461,Research & Development,8,1,Technical Degree,3773,2,Male,75,4,5,Sales Executive,2,Divorced,16784,18259,2,No,16,4,2,1,34,3,3,16,1,6,7
40,Yes,Travel_Rarely,341,Sales,18,3,Human Resources,3774,4,Female,59,3,1,Research Scientist,2,Married,3823,10652,0,Yes,15,3,4,0,21,4,2,16,10,9,0
22,No,Travel_Rarely,625,Human Resources,22,1,Other,3775,3,Male,67,3,3,Sales Executive,2,Married,10873,16636,5,No,16,3,3,0,0,4,3,0,0,7,0
31,No,Travel_Rarely,515,Sales,5,2,Marketing,3776,2,Female,45,4,4,Manager,3,Single,12917,22061,0,No,19,3,2,1,8,4,4,1,1,6,0
57,No,Travel_Rarely,1484,Research & Development,27,3,Life Sciences,3777,3,Male,57,4,2,Sales Executive,1,Divorced,9763,5189,3,No,21,3,4,1,38,3,1,19,7,3,3
30,No,Travel_Rarely,1476,Research & Development,11,5,Life Sciences,3778,4,Male,58,4,2,Research Director,3,Married,7977,3125,9,Yes,21,3,4,1,6,5,4,6,6,9,3
53,Yes,Travel_Frequently,127,Sales,9,2,Marketing,3779,2,Female,74,4,1,Sales Executive,2,Married,5738,14681,0,No,11,3,4,1,34,0,2,2,2,7,2
53,No,Travel_Rarely,1231,Sales,10,3,Technical Degree,3780,2,Male,83,3,1,Sales Representative,3,Single,6702,15671,3,No,19,3,3,0,33,1,3,10,10,8,9
27,No,Travel_Frequently,1386,Research & Development,9,3,Life Sciences,3781,4,Female,71,1,4,Research Scientist,2,Divorced,13789,10530,0,No,17,3,4,1,2,2,3,2,2,8,2
59,No,Travel_Rarely,1413,Research & Development,25,2,Human Resources,3782,3,Male,76,3,5,Manufacturing Director,4,Married,16867,2601,3,No,19,3,3,0,38,3,2,15,2,6,12
38,No,Travel_Rarely,344,Sales,1,3,Medical,3783,4,Female,98,2,2,Research Scientist,3,Single,7634,22251,8,No,14,3,1,1,14,2,3,13,8,0,6
31,No,Travel_Rarely,1355,Research & Development,26,4,Life Sciences,3784,3,Female,91,3,4,Sales Executive,4,Married,12347,12483,1,Yes,13,3,2,0,11,2,2,11,9,0,4
48,No,Travel_Rarely,150,Sales,10,2,Life Sciences,3785,2,Male,51,4,2,Healthcare Representative,4,Single,8717,15061,8,No,14,3,4,0,24,2,4,5,5,7,5
56,No,Travel_Rarely,221,Research & Development,3,4,Life Sciences,3786,3,Male,73,2,1,Manager,1,Single,6139,5204,0,Yes,18,3,2,0,34,2,4,5,5,0,2
42,No,Travel_Frequently,435,Sales,26,3,Life Sciences,3787,3,Female,64,1,1,Research Scientist,4,Divorced,5724,20572,6,No,22,4,1,1,24,6,4,3,3,9,3
46,No,Travel_Rarely,360,Research & Development,6,2,Marketing,3788,1,Female,64,4,4,Manager,4,Divorced,14260,20657,8,No,12,3,1,0,28,3,4,8,4,4,1
49,No,Travel_Rarely,1058,Sales,6,3,Life Sciences,3789,1,Male,54,1,5,Laboratory Technician,4,Single,16487,2921,1,Yes,19,4,3,0,26,2,4,3,1,9,0
36,No,Travel_Rarely,169,Research & Development,18,3,Medical,3790,4,Female,93,3,2,Healthcare Representative,3,Single,8438,13066,9,Yes,22,3,1,2,18,2,1,3,1,7,0
25,No,Travel_Rarely,1262,Sales,21,3,Marketing,3791,2,Male,98,4,1,Manufacturing Director,3,Divorced,4386,22744,3,No,14,3,4,2,3,3,3,3,3,4,3
50,No,Travel_Rarely,1191,Sales,20,3,Technical Degree,3792,3,Male,88,3,4,Research Director,2,Divorced,13653,20500,4,Yes,19,3,1,0,27,4,4,17,8,6,0
30,No,Travel_Rarely,358,Research & Development,16,1,Medical,3793,2,Male,86,3,2,Research Scientist,4,Married,8391,19778,4,No,16,3,4,0,9,3,1,9,5,4,4
48,No,Travel_Rarely,1167,Human Resources,28,4,Medical,3794,2,Female,54,3,2,Sales Executive,3,Married,7751,18804,7,No,25,3,4,0,25,2,4,8,5,2,8
47,No,Travel_Rarely,1383,Research & Development,16,3,Technical Degree,3795,1,Female,70,2,5,Manager,2,Married,17490,8950,3,Yes,14,3,1,0,29,2,2,0,0,1,0
40,No,Travel_Rarely,966,Sales,17,4,Life Sciences,3796,2,Male,34,1,3,Manager,3,Married,10177,13684,9,No,25,3,2,1,22,3,2,7,3,2,4
49,No,Travel_Frequently,476,Sales,20,2,Life Sciences,3797,2,Male,75,2,3,Sales Executive,4,Divorced,11849,2363,5,Yes,19,3,3,0,29,2,2,18,10,8,5
38,No,Travel_Rarely,1104,Sales,5,4,Technical Degree,3798,1,Female,59,4,2,Sales Executive,1,Married,5594,24957,6,No,18,3,1,0,15,2,3,9,1,2,3
41,No,Travel_Rarely,178,Research & Development,18,3,Life Sciences,3799,4,Male,67,1,1,Manager,2,Divorced,5768,8852,1,No,12,3,4,2,16,3,3,4,4,7,4
60,No,Travel_Rarely,1189,Sales,8,4,Life Sciences,3800,3,Female,83,3,2,Manufacturing Director,1,Divorced,10216,15824,5,No,22,3,4,0,39,5,2,15,13,4,11
44,Yes,Non-Travel,1247,Research & Development,18,3,Medical,3801,3,Male,54,2,2,Laboratory Technician,1,Married,8871,19196,0,No,20,3,3,0,19,2,1,2,2,0,2
53,No,Travel_Rarely,917,Research & Development,17,3,Life Sciences,3802,4,Male,70,1,5,Manager,3,Single,18429,26544,6,No,11,3,3,1,32,0,3,8,1,8,3
54,No,Travel_Rarely,1065,Human Resources,24,2,Marketing,3803,4,Male,52,1,3,Research Scientist,3,Married,11443,17924,9,Yes,12,4,4,0,29,0,3,16,8,9,9
26,No,Travel_Rarely,179,Human Resources,25,4,Life Sciences,3804,1,Female,71,3,2,Research Scientist,4,Married,7472,12207,0,Yes,16,3,3,2,4,2,4,4,4,8,4
55,No,Travel_Rarely,1423,Sales,13,3,Medical,3805,4,Female,46,3,3,Healthcare Representative,3,Married,12384,17230,4,No,19,4,4,2,34,3,3,0,0,1,0
32,No,Travel_Frequently,383,Research & Development,29,5,Marketing,3806,4,Male,69,4,1,Laboratory Technician,1,Married,4221,5184,9,No,13,3,4,1,11,4,3,1,1,8,1
24,Yes,Travel_Rarely,1208,Research & Development,24,3,Marketing,3807,1,Male,72,1,2,Sales Executive,4,Married,6917,15219,3,Yes,24,3,1,1,0,3,3,0,0,3,0
54,No,Travel_Rarely,1249,Sales,29,3,Medical,3808,4,Male,68,1,4,Sales Representative,4,Single,14147,26038,0,No,13,3,2,1,33,3,2,19,12,4,13
32,No,Travel_Rarely,992,Sales,12,3,Life Sciences,3809,3,Female,71,1,1,Human Resources,4,Married,4531,26522,8,Yes,13,3,4,2,13,4,2,11,3,2,11
37,No,Travel_Rarely,717,Research & Development,14,3,Life Sciences,3810,1,Female,88,2,2,Sales Executive,3,Divorced,8307,12671,4,No,25,3,3,2,19,3,3,8,5,3,0
39,No,Travel_Rarely,932,Sales,25,4,Life Sciences,3811,3,Female,55,3,1,Research Scientist,1,Single,4449,14808,2,No,19,3,4,2,17,3,2,13,13,7,5
51,No,Travel_Rarely,281,Research & Development,9,2,Medical,3812,1,Female,98,2,1,Healthcare Representative,4,Single,7026,13473,8,No,14,3,4,2,33,5,3,2,2,5,2
31,No,Travel_Frequently,253,Research & Development,27,3,Medical,3813,2,Female,60,4,1,Sales Executive,4,Divorced,4204,23450,4,No,22,3,4,1,8,5,3,1,1,0,1
39,No,Travel_Rarely,1482,Research & Development,8,3,Medical,3814,3,Male,48,2,1,Laboratory Technician,2,Married,4964,8679,1,Yes,20,3,4,0,15,4,4,15,1,6,2
59,No,Travel_Rarely,1061,Research & Development,4,3,Technical Degree,3815,3,Male,96,2,2,Sales Executive,2,Married,10010,5035,0,No,25,3,3,0,35,2,2,19,10,6,0
